timepoints,forecast
336,9.997021
337,10.118968
338,10.622206
339,11.397079
340,12.159282
341,12.995378
342,13.636229
343,14.247333
344,14.704369
345,14.761127
346,14.640854
347,14.095325
348,13.214562
349,12.193549
350,11.388316
351,10.591526
352,10.05323
353,9.731916
354,9.504727
355,9.224543
356,8.987044
357,8.702207
358,8.408591
359,8.241742
360,8.248452
361,8.5292635
362,9.221725
363,10.016778
364,10.895967
365,11.680725
366,12.424936
367,13.260027
368,13.828673
369,13.9069195
370,13.834586
371,13.253241
372,12.345979
373,11.342377
374,10.380294
375,9.711779
376,9.104276
377,8.630721
378,8.390212
379,8.023861
380,7.600982
381,7.315665
382,7.0509367
383,7.0144687
384,7.0064774
385,7.4615607
386,8.227954
387,9.126852
388,10.190733
389,11.019386
390,11.829431
391,12.642371
392,13.181821
393,13.383055
394,13.193939
395,12.794503
396,11.875508
397,10.875212
398,9.782517
399,8.959845
400,8.374097
401,7.877365
402,7.5225763
403,7.230745
404,6.979067
405,6.641709
406,6.2853627
407,6.1400695
408,6.261942
409,6.7437453
410,7.3739133
411,8.521322
412,9.60034
413,10.505151
414,11.403283
415,12.256072
416,12.747463
417,13.078176
418,12.826677
419,12.336448
420,11.632597
421,10.577499
422,9.5858135
423,8.73216
424,8.18664
425,7.7592254
426,7.3623013
427,7.0507107
428,6.714156
429,6.366296
430,6.2538676
431,6.1418447
